# sky130 pfet_01v8 gm/ID Processed Lookup Table
# Corner: ss
# Temperature: -40C
# W = 2.0 um
# L = 5.5 um (5500 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM4 saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    2.793535e+00    2.376212e+01    2.933756e+00    4.201075e+07    3.104830e-08    1.279979e-09    2.949887e-08    2.845619e-09   -1.800000e+00    1.144934e+00    5.470952e-01
    2.846851e+00    2.658414e+01    2.851801e+00    4.172305e+07    3.096905e-08    1.190919e-09    2.948105e-08    2.831530e-09   -1.790000e+00    1.144934e+00    5.390752e-01
    2.900166e+00    2.974104e+01    2.771397e+00    4.140770e+07    3.089303e-08    1.107490e-09    2.946128e-08    2.818048e-09   -1.780000e+00    1.144934e+00    5.310600e-01
    2.954706e+00    3.326123e+01    2.691444e+00    4.106632e+07    3.082009e-08    1.029458e-09    2.943961e-08    2.805155e-09   -1.770000e+00    1.144934e+00    5.230495e-01
    3.010189e+00    3.717351e+01    2.612361e+00    4.070062e+07    3.075007e-08    9.565750e-10    2.941611e-08    2.792831e-09   -1.760000e+00    1.144934e+00    5.150438e-01
    3.066722e+00    4.150694e+01    2.534182e+00    4.031228e+07    3.068279e-08    8.885890e-10    2.939086e-08    2.781052e-09   -1.750000e+00    1.144934e+00    5.070428e-01
    3.124419e+00    4.629066e+01    2.456939e+00    3.990300e+07    3.061810e-08    8.252435e-10    2.936390e-08    2.769795e-09   -1.740000e+00    1.144934e+00    4.990466e-01
    3.183398e+00    5.155379e+01    2.380661e+00    3.947434e+07    3.055580e-08    7.662815e-10    2.933530e-08    2.759034e-09   -1.730000e+00    1.144934e+00    4.910551e-01
    3.243787e+00    5.732538e+01    2.305375e+00    3.902789e+07    3.049573e-08    7.114485e-10    2.930511e-08    2.748743e-09   -1.720000e+00    1.144934e+00    4.830682e-01
    3.305713e+00    6.363429e+01    2.231106e+00    3.856505e+07    3.043768e-08    6.604950e-10    2.927335e-08    2.738895e-09   -1.710000e+00    1.144934e+00    4.750861e-01
    3.369314e+00    7.050926e+01    2.157874e+00    3.808718e+07    3.038148e-08    6.131780e-10    2.924006e-08    2.729464e-09   -1.700000e+00    1.144934e+00    4.671086e-01
    3.434729e+00    7.797884e+01    2.085701e+00    3.759550e+07    3.032695e-08    5.692625e-10    2.920526e-08    2.720421e-09   -1.690000e+00    1.144934e+00    4.591358e-01
    3.502101e+00    8.607150e+01    2.014604e+00    3.709114e+07    3.027389e-08    5.285225e-10    2.916896e-08    2.711740e-09   -1.680000e+00    1.144934e+00    4.511676e-01
    3.571582e+00    9.481567e+01    1.944599e+00    3.657513e+07    3.022213e-08    4.907425e-10    2.913118e-08    2.703394e-09   -1.670000e+00    1.144934e+00    4.432040e-01
    3.643328e+00    1.042398e+02    1.875703e+00    3.604839e+07    3.017148e-08    4.557173e-10    2.909189e-08    2.695358e-09   -1.660000e+00    1.144934e+00    4.352451e-01
    3.717505e+00    1.143728e+02    1.807927e+00    3.551178e+07    3.012176e-08    4.232527e-10    2.905109e-08    2.687602e-09   -1.650000e+00    1.144934e+00    4.272908e-01
    3.794283e+00    1.252435e+02    1.741287e+00    3.496603e+07    3.007279e-08    3.931655e-10    2.900875e-08    2.680102e-09   -1.640000e+00    1.144934e+00    4.193411e-01
    3.873848e+00    1.368818e+02    1.675793e+00    3.441189e+07    3.002440e-08    3.652833e-10    2.896483e-08    2.672833e-09   -1.630000e+00    1.144934e+00    4.113960e-01
    3.956393e+00    1.493181e+02    1.611455e+00    3.384995e+07    2.997641e-08    3.394449e-10    2.891930e-08    2.665768e-09   -1.620000e+00    1.144934e+00    4.034555e-01
    4.042122e+00    1.625834e+02    1.548285e+00    3.328077e+07    2.992864e-08    3.154992e-10    2.887207e-08    2.658884e-09   -1.610000e+00    1.144934e+00    3.955197e-01
    4.131257e+00    1.767104e+02    1.486291e+00    3.270487e+07    2.988091e-08    2.933053e-10    2.882309e-08    2.652154e-09   -1.600000e+00    1.144934e+00    3.875885e-01
    4.224029e+00    1.917329e+02    1.425482e+00    3.212266e+07    2.983304e-08    2.727322e-10    2.877228e-08    2.645554e-09   -1.590000e+00    1.144934e+00    3.796620e-01
    4.320696e+00    2.076865e+02    1.365868e+00    3.153459e+07    2.978485e-08    2.536582e-10    2.871953e-08    2.639060e-09   -1.580000e+00    1.144934e+00    3.717402e-01
    4.421525e+00    2.246087e+02    1.307455e+00    3.094100e+07    2.973614e-08    2.359700e-10    2.866474e-08    2.632647e-09   -1.570000e+00    1.144934e+00    3.638231e-01
    4.526809e+00    2.425389e+02    1.250252e+00    3.034221e+07    2.968674e-08    2.195631e-10    2.860778e-08    2.626290e-09   -1.560000e+00    1.144934e+00    3.559108e-01
    4.636871e+00    2.615198e+02    1.194265e+00    2.973855e+07    2.963643e-08    2.043405e-10    2.854851e-08    2.619964e-09   -1.550000e+00    1.144934e+00    3.480034e-01
    4.752054e+00    2.815964e+02    1.139501e+00    2.913025e+07    2.958503e-08    1.902124e-10    2.848677e-08    2.613644e-09   -1.540000e+00    1.144934e+00    3.401009e-01
    4.872729e+00    3.028165e+02    1.085967e+00    2.851752e+07    2.953231e-08    1.770962e-10    2.842241e-08    2.607304e-09   -1.530000e+00    1.144934e+00    3.322035e-01
    4.999306e+00    3.252322e+02    1.033671e+00    2.790057e+07    2.947806e-08    1.649154e-10    2.835522e-08    2.600916e-09   -1.520000e+00    1.144934e+00    3.243113e-01
    5.132231e+00    3.488988e+02    9.826165e-01    2.727957e+07    2.942205e-08    1.535992e-10    2.828498e-08    2.594455e-09   -1.510000e+00    1.144934e+00    3.164244e-01
    5.271989e+00    3.738763e+02    9.328120e-01    2.665467e+07    2.936401e-08    1.430828e-10    2.821147e-08    2.587890e-09   -1.500000e+00    1.144934e+00    3.085432e-01
    5.419105e+00    4.002285e+02    8.842630e-01    2.602595e+07    2.930371e-08    1.333060e-10    2.813443e-08    2.581191e-09   -1.490000e+00    1.144934e+00    3.006677e-01
    5.574158e+00    4.280242e+02    8.369760e-01    2.539348e+07    2.924087e-08    1.242135e-10    2.805359e-08    2.574327e-09   -1.480000e+00    1.144934e+00    2.927984e-01
    5.737788e+00    4.573378e+02    7.909565e-01    2.475732e+07    2.917518e-08    1.157544e-10    2.796863e-08    2.567267e-09   -1.470000e+00    1.144934e+00    2.849357e-01
    5.910687e+00    4.882480e+02    7.462110e-01    2.411749e+07    2.910635e-08    1.078817e-10    2.787922e-08    2.559974e-09   -1.460000e+00    1.144934e+00    2.770799e-01
    6.093615e+00    5.208400e+02    7.027460e-01    2.347394e+07    2.903404e-08    1.005520e-10    2.778499e-08    2.552411e-09   -1.450000e+00    1.144934e+00    2.692318e-01
    6.287403e+00    5.552037e+02    6.605680e-01    2.282663e+07    2.895790e-08    9.372545e-11    2.768556e-08    2.544538e-09   -1.440000e+00    1.144934e+00    2.613918e-01
    6.492965e+00    5.914347e+02    6.196835e-01    2.217547e+07    2.887755e-08    8.736525e-11    2.758049e-08    2.536315e-09   -1.430000e+00    1.144934e+00    2.535611e-01
    6.711308e+00    6.296341e+02    5.800985e-01    2.152030e+07    2.879258e-08    8.143755e-11    2.746932e-08    2.527696e-09   -1.420000e+00    1.144934e+00    2.457404e-01
    6.943505e+00    6.699064e+02    5.418215e-01    2.086096e+07    2.870258e-08    7.591110e-11    2.735154e-08    2.518632e-09   -1.410000e+00    1.144934e+00    2.379312e-01
    7.190761e+00    7.123597e+02    5.048585e-01    2.019720e+07    2.860708e-08    7.075700e-11    2.722662e-08    2.509075e-09   -1.400000e+00    1.144934e+00    2.301349e-01
    7.454364e+00    7.571044e+02    4.692176e-01    1.952878e+07    2.850558e-08    6.594880e-11    2.709396e-08    2.498968e-09   -1.390000e+00    1.144934e+00    2.223533e-01
    7.735707e+00    8.042499e+02    4.349067e-01    1.885537e+07    2.839757e-08    6.146190e-11    2.695296e-08    2.488252e-09   -1.380000e+00    1.144934e+00    2.145887e-01
    8.036301e+00    8.539023e+02    4.019341e-01    1.817664e+07    2.828249e-08    5.727365e-11    2.680293e-08    2.476867e-09   -1.370000e+00    1.144934e+00    2.068437e-01
    8.357752e+00    9.061584e+02    3.703084e-01    1.749219e+07    2.815976e-08    5.336325e-11    2.664317e-08    2.464744e-09   -1.360000e+00    1.144934e+00    1.991216e-01
    8.701766e+00    9.611015e+02    3.400382e-01    1.680163e+07    2.802876e-08    4.971139e-11    2.647292e-08    2.451814e-09   -1.350000e+00    1.144934e+00    1.914262e-01
    9.070125e+00    1.018793e+03    3.111327e-01    1.610456e+07    2.788883e-08    4.630022e-11    2.629138e-08    2.438001e-09   -1.340000e+00    1.144934e+00    1.837622e-01
    9.464658e+00    1.079260e+03    2.836009e-01    1.540059e+07    2.773930e-08    4.311330e-11    2.609770e-08    2.423226e-09   -1.330000e+00    1.144934e+00    1.761351e-01
    9.887198e+00    1.142487e+03    2.574519e-01    1.468940e+07    2.757945e-08    4.013541e-11    2.589101e-08    2.407405e-09   -1.320000e+00    1.144934e+00    1.685515e-01
    1.033953e+01    1.208397e+03    2.326942e-01    1.397078e+07    2.740853e-08    3.735247e-11    2.567037e-08    2.390450e-09   -1.310000e+00    1.144934e+00    1.610193e-01
    1.082328e+01    1.276828e+03    2.093354e-01    1.324467e+07    2.722580e-08    3.475145e-11    2.543485e-08    2.372271e-09   -1.300000e+00    1.144934e+00    1.535479e-01
    1.133982e+01    1.347520e+03    1.873821e-01    1.251126e+07    2.703046e-08    3.232030e-11    2.518345e-08    2.352770e-09   -1.290000e+00    1.144934e+00    1.461481e-01
    1.189010e+01    1.420079e+03    1.668389e-01    1.177107e+07    2.682175e-08    3.004783e-11    2.491519e-08    2.331852e-09   -1.280000e+00    1.144934e+00    1.388328e-01
    1.247445e+01    1.493954e+03    1.477075e-01    1.102507e+07    2.659885e-08    2.792370e-11    2.462906e-08    2.309415e-09   -1.270000e+00    1.144934e+00    1.316167e-01
    1.309234e+01    1.568409e+03    1.299861e-01    1.027478e+07    2.636101e-08    2.593831e-11    2.432408e-08    2.285358e-09   -1.260000e+00    1.144934e+00    1.245170e-01
    1.374214e+01    1.642499e+03    1.136679e-01    9.522431e+06    2.610745e-08    2.408274e-11    2.399927e-08    2.259582e-09   -1.250000e+00    1.144934e+00    1.175528e-01
    1.442072e+01    1.715054e+03    9.873990e-02    8.771015e+06    2.583747e-08    2.234872e-11    2.365369e-08    2.231985e-09   -1.240000e+00    1.144934e+00    1.107459e-01
    1.512322e+01    1.784679e+03    8.518170e-02    8.024414e+06    2.555039e-08    2.072856e-11    2.328650e-08    2.202474e-09   -1.230000e+00    1.144934e+00    1.041200e-01
    1.584274e+01    1.849778e+03    7.296410e-02    7.287415e+06    2.524563e-08    1.921512e-11    2.289688e-08    2.170956e-09   -1.220000e+00    1.144934e+00    9.770081e-02
    1.657015e+01    1.908615e+03    6.204780e-02    6.565656e+06    2.492269e-08    1.780173e-11    2.248418e-08    2.137349e-09   -1.210000e+00    1.144934e+00    9.151533e-02
    1.729405e+01    1.959397e+03    5.238270e-02    5.865459e+06    2.458118e-08    1.648221e-11    2.204785e-08    2.101581e-09   -1.200000e+00    1.144934e+00    8.559125e-02
