# sky130 pfet_01v8 gm/ID Processed Lookup Table
# Corner: sf
# Temperature: 85C
# W = 2.0 um
# L = 4.5 um (4500 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM4 saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    1.928351e+00    3.946119e+00    3.655144e+00    4.341237e+07    2.584028e-08    2.750045e-09    2.348672e-08    2.749472e-09   -1.800000e+00    9.642356e-01    7.077144e-01
    1.965850e+00    4.191410e+00    3.584660e+00    4.357880e+07    2.573614e-08    2.607254e-09    2.349534e-08    2.729035e-09   -1.790000e+00    9.642356e-01    6.996491e-01
    2.004377e+00    4.463241e+00    3.514212e+00    4.373398e+07    2.563354e-08    2.468239e-09    2.350190e-08    2.708933e-09   -1.780000e+00    9.642356e-01    6.915884e-01
    2.043942e+00    4.765326e+00    3.443796e+00    4.387632e+07    2.553266e-08    2.333276e-09    2.350633e-08    2.689199e-09   -1.770000e+00    9.642356e-01    6.835324e-01
    2.084536e+00    5.101944e+00    3.373439e+00    4.400411e+07    2.543368e-08    2.202605e-09    2.350861e-08    2.669866e-09   -1.760000e+00    9.642356e-01    6.754810e-01
    2.126141e+00    5.478017e+00    3.303163e+00    4.411554e+07    2.533673e-08    2.076439e-09    2.350868e-08    2.650961e-09   -1.750000e+00    9.642356e-01    6.674343e-01
    2.168740e+00    5.899201e+00    3.232988e+00    4.420878e+07    2.524197e-08    1.954954e-09    2.350652e-08    2.632511e-09   -1.740000e+00    9.642356e-01    6.593921e-01
    2.212302e+00    6.371971e+00    3.162941e+00    4.428195e+07    2.514947e-08    1.838291e-09    2.350212e-08    2.614538e-09   -1.730000e+00    9.642356e-01    6.513546e-01
    2.256792e+00    6.903711e+00    3.093050e+00    4.433319e+07    2.505934e-08    1.726551e-09    2.349548e-08    2.597060e-09   -1.720000e+00    9.642356e-01    6.433217e-01
    2.302169e+00    7.502792e+00    3.023344e+00    4.436068e+07    2.497163e-08    1.619801e-09    2.348659e-08    2.580093e-09   -1.710000e+00    9.642356e-01    6.352933e-01
