# sky130 pfet_01v8 gm/ID Processed Lookup Table
# Corner: sf
# Temperature: 85C
# W = 2.0 um
# L = 3 um (3000 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM4 saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    1.893691e+00    3.671618e+00    5.420005e+00    9.418702e+07    1.734355e-08    1.778951e-09    1.570665e-08    1.864946e-09   -1.800000e+00    9.607025e-01    7.100309e-01
    1.930560e+00    3.886699e+00    5.317370e+00    9.456831e+07    1.727646e-08    1.686105e-09    1.571253e-08    1.851578e-09   -1.790000e+00    9.607025e-01    7.020343e-01
    1.968475e+00    4.123795e+00    5.214705e+00    9.492653e+07    1.721044e-08    1.595843e-09    1.571701e-08    1.838442e-09   -1.780000e+00    9.607025e-01    6.940415e-01
    2.007431e+00    4.385828e+00    5.112065e+00    9.525856e+07    1.714562e-08    1.508329e-09    1.572008e-08    1.825561e-09   -1.770000e+00    9.607025e-01    6.860523e-01
    2.047432e+00    4.676137e+00    5.009470e+00    9.556094e+07    1.708209e-08    1.423707e-09    1.572169e-08    1.812952e-09   -1.760000e+00    9.607025e-01    6.780667e-01
    2.088471e+00    4.998529e+00    4.906944e+00    9.583009e+07    1.701993e-08    1.342099e-09    1.572184e-08    1.800632e-09   -1.750000e+00    9.607025e-01    6.700846e-01
    2.130534e+00    5.357344e+00    4.804520e+00    9.606223e+07    1.695922e-08    1.263605e-09    1.572050e-08    1.788617e-09   -1.740000e+00    9.607025e-01    6.621061e-01
    2.173603e+00    5.757501e+00    4.702232e+00    9.625358e+07    1.690003e-08    1.188301e-09    1.571769e-08    1.776919e-09   -1.730000e+00    9.607025e-01    6.541310e-01
    2.217648e+00    6.204552e+00    4.600117e+00    9.640022e+07    1.684238e-08    1.116241e-09    1.571339e-08    1.765550e-09   -1.720000e+00    9.607025e-01    6.461594e-01
    2.262637e+00    6.704731e+00    4.498217e+00    9.649838e+07    1.678632e-08    1.047454e-09    1.570760e-08    1.754516e-09   -1.710000e+00    9.607025e-01    6.381913e-01
    2.308531e+00    7.264987e+00    4.396576e+00    9.654424e+07    1.673185e-08    9.819455e-10    1.570034e-08    1.743825e-09   -1.700000e+00    9.607025e-01    6.302264e-01
    2.355286e+00    7.893018e+00    4.295241e+00    9.653436e+07    1.667898e-08    9.197030e-10    1.569164e-08    1.733478e-09   -1.690000e+00    9.607025e-01    6.222650e-01
    2.402858e+00    8.597260e+00    4.194263e+00    9.646562e+07    1.662767e-08    8.606915e-10    1.568149e-08    1.723476e-09   -1.680000e+00    9.607025e-01    6.143069e-01
    2.451205e+00    9.386888e+00    4.093695e+00    9.633524e+07    1.657792e-08    8.048590e-10    1.566992e-08    1.713818e-09   -1.670000e+00    9.607025e-01    6.063520e-01
    2.500285e+00    1.027176e+01    3.993592e+00    9.614113e+07    1.652967e-08    7.521370e-10    1.565697e-08    1.704499e-09   -1.660000e+00    9.607025e-01    5.984004e-01
    2.550068e+00    1.126237e+01    3.894012e+00    9.588180e+07    1.648287e-08    7.024435e-10    1.564264e-08    1.695515e-09   -1.650000e+00    9.607025e-01    5.904520e-01
    2.600528e+00    1.236973e+01    3.795012e+00    9.555639e+07    1.643748e-08    6.556840e-10    1.562697e-08    1.686856e-09   -1.640000e+00    9.607025e-01    5.825068e-01
    2.651655e+00    1.360529e+01    3.696651e+00    9.516485e+07    1.639340e-08    6.117555e-10    1.560997e-08    1.678513e-09   -1.630000e+00    9.607025e-01    5.745648e-01
    2.703449e+00    1.498077e+01    3.598986e+00    9.470782e+07    1.635056e-08    5.705465e-10    1.559167e-08    1.670475e-09   -1.620000e+00    9.607025e-01    5.666260e-01
    2.755930e+00    1.650808e+01    3.502076e+00    9.418669e+07    1.630889e-08    5.319405e-10    1.557208e-08    1.662730e-09   -1.610000e+00    9.607025e-01    5.586902e-01
    2.809130e+00    1.819911e+01    3.405975e+00    9.360345e+07    1.626828e-08    4.958165e-10    1.555123e-08    1.655265e-09   -1.600000e+00    9.607025e-01    5.507576e-01
    2.863092e+00    2.006562e+01    3.310737e+00    9.296038e+07    1.622864e-08    4.620522e-10    1.552912e-08    1.648064e-09   -1.590000e+00    9.607025e-01    5.428281e-01
    2.917881e+00    2.211919e+01    3.216413e+00    9.226043e+07    1.618990e-08    4.305242e-10    1.550577e-08    1.641114e-09   -1.580000e+00    9.607025e-01    5.349016e-01
    2.973572e+00    2.437107e+01    3.123050e+00    9.150678e+07    1.615193e-08    4.011098e-10    1.548119e-08    1.634399e-09   -1.570000e+00    9.607025e-01    5.269783e-01
    3.030248e+00    2.683208e+01    3.030695e+00    9.070264e+07    1.611463e-08    3.736882e-10    1.545536e-08    1.627903e-09   -1.560000e+00    9.607025e-01    5.190580e-01
    3.088005e+00    2.951266e+01    2.939389e+00    8.985144e+07    1.607793e-08    3.481412e-10    1.542831e-08    1.621609e-09   -1.550000e+00    9.607025e-01    5.111408e-01
    3.146948e+00    3.242281e+01    2.849171e+00    8.895655e+07    1.604169e-08    3.243540e-10    1.540002e-08    1.615500e-09   -1.540000e+00    9.607025e-01    5.032267e-01
    3.207187e+00    3.557212e+01    2.760076e+00    8.802120e+07    1.600583e-08    3.022157e-10    1.537047e-08    1.609561e-09   -1.530000e+00    9.607025e-01    4.953156e-01
    3.268843e+00    3.896985e+01    2.672140e+00    8.704860e+07    1.597025e-08    2.816199e-10    1.533964e-08    1.603775e-09   -1.520000e+00    9.607025e-01    4.874077e-01
    3.332039e+00    4.262493e+01    2.585390e+00    8.604167e+07    1.593483e-08    2.624651e-10    1.530754e-08    1.598125e-09   -1.510000e+00    9.607025e-01    4.795030e-01
    3.396904e+00    4.654612e+01    2.499856e+00    8.500320e+07    1.589948e-08    2.446546e-10    1.527412e-08    1.592596e-09   -1.500000e+00    9.607025e-01    4.716015e-01
    3.463570e+00    5.074204e+01    2.415563e+00    8.393572e+07    1.586411e-08    2.280965e-10    1.523935e-08    1.587170e-09   -1.490000e+00    9.607025e-01    4.637032e-01
    3.532178e+00    5.522134e+01    2.332534e+00    8.284157e+07    1.582860e-08    2.127045e-10    1.520321e-08    1.581831e-09   -1.480000e+00    9.607025e-01    4.558083e-01
    3.602873e+00    5.999279e+01    2.250791e+00    8.172290e+07    1.579285e-08    1.983970e-10    1.516564e-08    1.576564e-09   -1.470000e+00    9.607025e-01    4.479167e-01
    3.675806e+00    6.506533e+01    2.170354e+00    8.058161e+07    1.575678e-08    1.850973e-10    1.512661e-08    1.571352e-09   -1.460000e+00    9.607025e-01    4.400287e-01
    3.751129e+00    7.044825e+01    2.091241e+00    7.941933e+07    1.572027e-08    1.727339e-10    1.508607e-08    1.566180e-09   -1.450000e+00    9.607025e-01    4.321443e-01
    3.829009e+00    7.615139e+01    2.013469e+00    7.823767e+07    1.568323e-08    1.612395e-10    1.504395e-08    1.561031e-09   -1.440000e+00    9.607025e-01    4.242637e-01
    3.909612e+00    8.218496e+01    1.937054e+00    7.703790e+07    1.564556e-08    1.505517e-10    1.500021e-08    1.555892e-09   -1.430000e+00    9.607025e-01    4.163871e-01
    3.993118e+00    8.855998e+01    1.862011e+00    7.582120e+07    1.560716e-08    1.406120e-10    1.495476e-08    1.550746e-09   -1.420000e+00    9.607025e-01    4.085146e-01
    4.079715e+00    9.528821e+01    1.788354e+00    7.458862e+07    1.556793e-08    1.313662e-10    1.490755e-08    1.545577e-09   -1.410000e+00    9.607025e-01    4.006465e-01
    4.169595e+00    1.023821e+02    1.716096e+00    7.334096e+07    1.552776e-08    1.227636e-10    1.485850e-08    1.540369e-09   -1.400000e+00    9.607025e-01    3.927831e-01
    4.262967e+00    1.098554e+02    1.645250e+00    7.207901e+07    1.548656e-08    1.147578e-10    1.480753e-08    1.535109e-09   -1.390000e+00    9.607025e-01    3.849247e-01
    4.360050e+00    1.177225e+02    1.575827e+00    7.080339e+07    1.544423e-08    1.073049e-10    1.475454e-08    1.529781e-09   -1.380000e+00    9.607025e-01    3.770716e-01
