# sky130 pfet_01v8 gm/ID Processed Lookup Table
# Corner: fs
# Temperature: 25C
# W = 2.0 um
# L = 6 um (6000 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM4 saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    1.942908e+00    4.409733e+00    3.647936e+00    2.810726e+07    4.013296e-08    4.410291e-09    3.642902e-08    3.769599e-09   -1.800000e+00    9.943712e-01    6.941494e-01
    1.984531e+00    4.729162e+00    3.577060e+00    2.827362e+07    3.995975e-08    4.175575e-09    3.644713e-08    3.740020e-09   -1.790000e+00    9.943712e-01    6.858405e-01
    2.027312e+00    5.087252e+00    3.505968e+00    2.843045e+07    3.978917e-08    3.946924e-09    3.646211e-08    3.710921e-09   -1.780000e+00    9.943712e-01    6.775371e-01
    2.071140e+00    5.489917e+00    3.434857e+00    2.857632e+07    3.962160e-08    3.724845e-09    3.647384e-08    3.682358e-09   -1.770000e+00    9.943712e-01    6.692393e-01
    2.116019e+00    5.944032e+00    3.363696e+00    2.870970e+07    3.945735e-08    3.509798e-09    3.648226e-08    3.654386e-09   -1.760000e+00    9.943712e-01    6.609470e-01
    2.161915e+00    6.457577e+00    3.292515e+00    2.882902e+07    3.929673e-08    3.302184e-09    3.648732e-08    3.627052e-09   -1.750000e+00    9.943712e-01    6.526603e-01
    2.208784e+00    7.039795e+00    3.221345e+00    2.893274e+07    3.914001e-08    3.102344e-09    3.648898e-08    3.600401e-09   -1.740000e+00    9.943712e-01    6.443790e-01
    2.256578e+00    7.701330e+00    3.150222e+00    2.901931e+07    3.898742e-08    2.910553e-09    3.648723e-08    3.574474e-09   -1.730000e+00    9.943712e-01    6.361033e-01
    2.305241e+00    8.454396e+00    3.079183e+00    2.908726e+07    3.883911e-08    2.727017e-09    3.648206e-08    3.549302e-09   -1.720000e+00    9.943712e-01    6.278329e-01
    2.354716e+00    9.312906e+00    3.008270e+00    2.913519e+07    3.869524e-08    2.551876e-09    3.647351e-08    3.524912e-09   -1.710000e+00    9.943712e-01    6.195680e-01
    2.404944e+00    1.029263e+01    2.937526e+00    2.916193e+07    3.855588e-08    2.385202e-09    3.646158e-08    3.501326e-09   -1.700000e+00    9.943712e-01    6.113085e-01
    2.455876e+00    1.141129e+01    2.866993e+00    2.916647e+07    3.842107e-08    2.227003e-09    3.644635e-08    3.478557e-09   -1.690000e+00    9.943712e-01    6.030545e-01
    2.507463e+00    1.268865e+01    2.796721e+00    2.914804e+07    3.829081e-08    2.077226e-09    3.642784e-08    3.456610e-09   -1.680000e+00    9.943712e-01    5.948058e-01
    2.559675e+00    1.414656e+01    2.726756e+00    2.910620e+07    3.816505e-08    1.935762e-09    3.640614e-08    3.435489e-09   -1.670000e+00    9.943712e-01    5.865624e-01
    2.612494e+00    1.580894e+01    2.657145e+00    2.904075e+07    3.804371e-08    1.802452e-09    3.638131e-08    3.415187e-09   -1.660000e+00    9.943712e-01    5.783244e-01
    2.665915e+00    1.770175e+01    2.587937e+00    2.895179e+07    3.792667e-08    1.677092e-09    3.635341e-08    3.395693e-09   -1.650000e+00    9.943712e-01    5.700917e-01
    2.719961e+00    1.985295e+01    2.519176e+00    2.883974e+07    3.781377e-08    1.559443e-09    3.632251e-08    3.376991e-09   -1.640000e+00    9.943712e-01    5.618643e-01
    2.774665e+00    2.229228e+01    2.450910e+00    2.870523e+07    3.770484e-08    1.449233e-09    3.628869e-08    3.359060e-09   -1.630000e+00    9.943712e-01    5.536423e-01
    2.830083e+00    2.505115e+01    2.383181e+00    2.854910e+07    3.759966e-08    1.346166e-09    3.625202e-08    3.341875e-09   -1.620000e+00    9.943712e-01    5.454255e-01
    2.886289e+00    2.816250e+01    2.316031e+00    2.837239e+07    3.749803e-08    1.249928e-09    3.621254e-08    3.325409e-09   -1.610000e+00    9.943712e-01    5.372140e-01
    2.943367e+00    3.166049e+01    2.249499e+00    2.817619e+07    3.739969e-08    1.160191e-09    3.617032e-08    3.309630e-09   -1.600000e+00    9.943712e-01    5.290077e-01
    3.001418e+00    3.558042e+01    2.183621e+00    2.796172e+07    3.730440e-08    1.076623e-09    3.612540e-08    3.294504e-09   -1.590000e+00    9.943712e-01    5.208068e-01
    3.060558e+00    3.995850e+01    2.118431e+00    2.773023e+07    3.721188e-08    9.988855e-10    3.607781e-08    3.279996e-09   -1.580000e+00    9.943712e-01    5.126110e-01
    3.120904e+00    4.483157e+01    2.053960e+00    2.748289e+07    3.712188e-08    9.266440e-10    3.602758e-08    3.266071e-09   -1.570000e+00    9.943712e-01    5.044206e-01
