# sky130 pfet_01v8 gm/ID Processed Lookup Table
# Corner: ss
# Temperature: 85C
# W = 2.0 um
# L = 4.5 um (4500 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM4 saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    1.861094e+00    3.759034e+00    3.772144e+00    4.221370e+07    2.646814e-08    2.880811e-09    2.403333e-08    2.777987e-09   -1.800000e+00    9.586787e-01    7.103907e-01
    1.898025e+00    3.990574e+00    3.701941e+00    4.242188e+07    2.636098e-08    2.733181e-09    2.404346e-08    2.757364e-09   -1.790000e+00    9.586787e-01    7.023530e-01
    1.936011e+00    4.246837e+00    3.631622e+00    4.261981e+07    2.625531e-08    2.589270e-09    2.405150e-08    2.737062e-09   -1.780000e+00    9.586787e-01    6.943200e-01
    1.975009e+00    4.531261e+00    3.561298e+00    4.280595e+07    2.615131e-08    2.449372e-09    2.405740e-08    2.717112e-09   -1.770000e+00    9.586787e-01    6.862917e-01
    2.015027e+00    4.847791e+00    3.490956e+00    4.297853e+07    2.604917e-08    2.313748e-09    2.406109e-08    2.697548e-09   -1.760000e+00    9.586787e-01    6.782680e-01
    2.056057e+00    5.200991e+00    3.420618e+00    4.313587e+07    2.594904e-08    2.182631e-09    2.406253e-08    2.678400e-09   -1.750000e+00    9.586787e-01    6.702490e-01
    2.098078e+00    5.596085e+00    3.350305e+00    4.327604e+07    2.585107e-08    2.056216e-09    2.406171e-08    2.659695e-09   -1.740000e+00    9.586787e-01    6.622345e-01
    2.141069e+00    6.039080e+00    3.280042e+00    4.339725e+07    2.575538e-08    1.934663e-09    2.405859e-08    2.641456e-09   -1.730000e+00    9.586787e-01    6.542246e-01
    2.184992e+00    6.536815e+00    3.209858e+00    4.349750e+07    2.566206e-08    1.818098e-09    2.405316e-08    2.623704e-09   -1.720000e+00    9.586787e-01    6.462192e-01
    2.229812e+00    7.097063e+00    3.139782e+00    4.357498e+07    2.557118e-08    1.706603e-09    2.404542e-08    2.606455e-09   -1.710000e+00    9.586787e-01    6.382183e-01
    2.275485e+00    7.728621e+00    3.069847e+00    4.362785e+07    2.548279e-08    1.600228e-09    2.403538e-08    2.589723e-09   -1.700000e+00    9.586787e-01    6.302220e-01
    2.321963e+00    8.441356e+00    3.000086e+00    4.365443e+07    2.539691e-08    1.498984e-09    2.402307e-08    2.573514e-09   -1.690000e+00    9.586787e-01    6.222300e-01
    2.369200e+00    9.246272e+00    2.930537e+00    4.365324e+07    2.531353e-08    1.402847e-09    2.400849e-08    2.557836e-09   -1.680000e+00    9.586787e-01    6.142426e-01
    2.417147e+00    1.015551e+01    2.861239e+00    4.362293e+07    2.523263e-08    1.311764e-09    2.399167e-08    2.542688e-09   -1.670000e+00    9.586787e-01    6.062595e-01
    2.465768e+00    1.118242e+01    2.792230e+00    4.356257e+07    2.515417e-08    1.225651e-09    2.397266e-08    2.528067e-09   -1.660000e+00    9.586787e-01    5.982809e-01
    2.515024e+00    1.234144e+01    2.723553e+00    4.347145e+07    2.507806e-08    1.144399e-09    2.395148e-08    2.513968e-09   -1.650000e+00    9.586787e-01    5.903067e-01
